Date : 2023-01-23 15:51:56
Directory : c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack
Total : 156 files,  1890 codes, 20 comments, 242 blanks, all 2152 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         57 |      1,049 |          0 |         46 |      1,095 |
| mcfunction |         98 |        840 |         20 |        195 |      1,055 |
| Markdown   |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                     |        156 |      1,890 |         20 |        242 |      2,152 |
| . (Files)                                                                                                                                                                                             |          2 |          7 |          0 |          1 |          8 |
| data                                                                                                                                                                                                  |        154 |      1,883 |         20 |        241 |      2,144 |
| data\hexenwerk                                                                                                                                                                                        |        152 |      1,877 |         20 |        241 |      2,138 |
| data\hexenwerk\advancements                                                                                                                                                                           |          9 |        230 |          0 |          3 |        233 |
| data\hexenwerk\advancements (Files)                                                                                                                                                                   |          6 |        188 |          0 |          0 |        188 |
| data\hexenwerk\advancements\craft                                                                                                                                                                     |          3 |         42 |          0 |          3 |         45 |
| data\hexenwerk\functions                                                                                                                                                                              |         98 |        840 |         20 |        195 |      1,055 |
| data\hexenwerk\functions (Files)                                                                                                                                                                      |          4 |         68 |         13 |         17 |         98 |
| data\hexenwerk\functions\blocks                                                                                                                                                                       |         35 |        367 |          0 |         59 |        426 |
| data\hexenwerk\functions\blocks (Files)                                                                                                                                                               |          2 |          7 |          0 |          3 |         10 |
| data\hexenwerk\functions\blocks\magical_crafting_table                                                                                                                                                |         31 |        350 |          0 |         54 |        404 |
